Climate_Zone,Season,Crop_Type,Crop_Growth_Stage,Stage_Duration_days,Soil_Type,Soil_pH,Soil_Moisture_pct,Organic_Carbon_pct,Electrical_Conductivity_dSm,Tmax_C,Tmin_C,Temperature_C,Humidity_pct,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Reference_ET0_mm_day,Crop_Coefficient_Kc
Dry,Maha,Green Gram,Late-season,13,Sandy,5.01,10.52,0.76,0.7,32.0,22.3,27.1,83.1,33.7,7.3,12.1,Drip,Minor Tank,0.19,No,4.28,0.4
Wet,Maha,Tomato,Initial,20,Loamy,5.61,15.37,0.93,0.74,27.1,22.3,24.7,85.5,103.3,5.8,4.9,Furrow/Surface,Major Tank,0.1,Yes,3.22,0.6
Wet,Maha,Tomato,Development,25,Loamy,5.37,18.1,1.41,0.51,28.6,22.5,25.6,83.8,116.5,5.2,7.0,Furrow/Surface,Major Tank,0.1,Yes,3.61,0.9
Wet,Maha,Tomato,Mid-season,35,Loamy,6.31,19.23,0.86,0.32,27.9,23.5,25.7,71.9,337.0,4.8,5.2,Furrow/Surface,Major Tank,0.1,Yes,2.88,1.15
Wet,Maha,Tomato,Late-season,20,Loamy,5.35,21.77,0.53,0.85,28.1,23.0,25.5,80.2,167.5,6.2,7.3,Furrow/Surface,Major Tank,0.1,Yes,2.98,0.8
Wet,Maha,Tomato,Initial,20,Clay,6.62,26.55,1.55,1.17,27.7,21.6,24.6,89.2,36.9,7.4,9.3,Drip,Rainfed,2.62,No,3.63,0.6
Wet,Maha,Tomato,Development,25,Clay,7.14,25.27,2.01,1.21,28.7,23.1,25.9,82.4,86.8,4.6,7.2,Drip,Rainfed,2.62,No,3.48,0.9
Wet,Maha,Tomato,Mid-season,35,Clay,6.27,24.33,1.37,1.34,29.4,22.5,25.9,81.8,194.6,5.1,7.8,Drip,Rainfed,2.62,No,3.59,1.15
Wet,Maha,Tomato,Late-season,20,Clay,5.67,23.89,1.58,0.92,28.0,22.7,25.4,81.2,96.1,5.8,4.8,Drip,Rainfed,2.62,No,3.01,0.8
Wet,Yala,Paddy (Rice),Initial,20,Loamy,5.77,19.73,1.28,0.47,30.8,24.5,27.6,82.5,198.8,5.4,8.2,Sprinkler,Rainfed,0.86,No,3.99,1.05
Wet,Yala,Paddy (Rice),Development,30,Loamy,5.54,26.25,0.57,0.13,29.8,23.1,26.5,84.0,204.1,6.6,6.2,Sprinkler,Rainfed,0.86,No,3.9,1.1
Wet,Yala,Paddy (Rice),Mid-season,40,Loamy,5.85,26.25,0.97,0.38,29.5,23.4,26.5,87.9,580.2,4.3,10.0,Sprinkler,Rainfed,0.86,No,3.66,1.2
Wet,Yala,Paddy (Rice),Late-season,25,Loamy,6.05,26.25,1.31,1.39,30.9,25.2,28.0,81.7,422.3,7.9,9.1,Sprinkler,Rainfed,0.86,No,3.74,0.95
Intermediate,Yala,Paddy (Rice),Initial,20,Loamy,5.72,19.59,1.45,0.26,31.5,19.6,25.5,75.3,53.9,6.9,6.4,Rainfed,Minor Tank,1.57,No,5.28,1.05
Intermediate,Yala,Paddy (Rice),Development,30,Loamy,5.22,23.19,1.2,0.54,30.3,21.5,25.9,73.4,88.1,6.9,11.8,Rainfed,Minor Tank,1.57,No,4.48,1.1
Intermediate,Yala,Paddy (Rice),Mid-season,40,Loamy,6.5,23.83,1.07,0.05,31.0,21.7,26.3,76.7,44.0,6.8,7.1,Rainfed,Minor Tank,1.57,No,4.54,1.2
Intermediate,Yala,Paddy (Rice),Late-season,25,Loamy,5.66,25.76,1.34,0.22,30.0,20.9,25.5,70.0,122.9,7.6,9.2,Rainfed,Minor Tank,1.57,No,4.48,0.95
Wet,Maha,Paddy (Rice),Initial,20,Clay,6.56,21.93,1.88,0.24,27.2,22.9,25.1,83.2,196.7,5.5,9.0,Sprinkler,Rainfed,3.0,Yes,3.12,1.05
Wet,Maha,Paddy (Rice),Development,30,Clay,6.18,29.73,1.43,0.8,27.1,22.6,24.9,78.7,145.6,5.9,10.8,Sprinkler,Rainfed,3.0,Yes,3.04,1.1
Wet,Maha,Paddy (Rice),Mid-season,40,Clay,6.73,30.17,1.47,1.07,29.2,24.0,26.6,82.2,205.8,6.5,4.7,Sprinkler,Rainfed,3.0,Yes,3.16,1.2
Wet,Maha,Paddy (Rice),Late-season,25,Clay,5.44,30.33,1.56,0.94,29.2,22.8,26.0,79.6,167.5,6.3,1.1,Sprinkler,Rainfed,3.0,Yes,3.41,0.95
Dry,Yala,Green Gram,Initial,12,Sandy Loam,5.49,10.49,0.87,0.54,33.9,24.0,28.9,59.8,51.7,8.0,10.8,Rainfed,Agro-well,0.83,Yes,5.22,0.4
Dry,Yala,Green Gram,Development,18,Sandy Loam,4.99,9.64,0.96,0.65,32.7,23.0,27.8,74.6,52.9,7.9,8.7,Rainfed,Agro-well,0.83,Yes,5.03,0.75
Dry,Yala,Green Gram,Mid-season,22,Sandy Loam,6.32,8.24,1.23,0.48,34.8,22.6,28.7,70.0,79.7,8.0,11.6,Rainfed,Agro-well,0.83,Yes,5.67,1.05
Dry,Yala,Green Gram,Late-season,13,Sandy Loam,5.85,7.53,0.9,0.57,35.0,24.1,29.6,68.8,4.6,8.8,12.8,Rainfed,Agro-well,0.83,Yes,5.4,0.4
Wet,Maha,Tomato,Initial,20,Loamy,6.25,15.18,0.57,0.51,28.1,22.3,25.2,79.7,132.0,6.5,7.7,Drip,Minor Tank,2.15,No,3.59,0.6
Wet,Maha,Tomato,Development,25,Loamy,5.79,21.4,1.2,0.85,28.0,22.5,25.3,85.2,91.6,7.0,7.4,Drip,Minor Tank,2.15,No,3.42,0.9
Wet,Maha,Tomato,Mid-season,35,Loamy,5.66,21.4,1.04,0.74,28.8,23.1,26.0,77.2,198.8,6.8,8.4,Drip,Minor Tank,2.15,No,3.33,1.15
Wet,Maha,Tomato,Late-season,20,Loamy,6.06,22.89,1.32,0.63,28.4,21.4,24.9,80.2,1.8,6.1,11.9,Drip,Minor Tank,2.15,No,3.5,0.8
Intermediate,Yala,Maize,Initial,20,Sandy,5.73,10.89,1.16,0.28,30.9,21.3,26.1,66.4,15.8,7.4,6.0,Rainfed,Rainfed,0.48,No,4.8,0.3
Intermediate,Yala,Maize,Development,30,Sandy,4.58,7.61,0.73,0.34,31.3,21.3,26.3,74.2,62.4,7.6,10.3,Rainfed,Rainfed,0.48,No,4.8,0.75
Intermediate,Yala,Maize,Mid-season,35,Sandy,5.59,7.99,0.85,0.63,31.0,22.3,26.7,72.9,192.0,7.1,13.1,Rainfed,Rainfed,0.48,No,4.44,1.2
Intermediate,Yala,Maize,Late-season,15,Sandy,5.54,8.07,0.9,0.35,31.7,22.0,26.9,66.5,11.7,8.1,6.6,Rainfed,Rainfed,0.48,No,4.75,0.6
Wet,Maha,Maize,Initial,20,Sandy,4.36,8.01,0.42,0.35,27.3,22.3,24.8,80.3,100.1,5.8,10.5,Rainfed,Major Tank,0.62,Yes,3.28,0.3
Wet,Maha,Maize,Development,30,Sandy,5.89,11.03,0.2,0.05,29.4,22.4,25.9,86.2,153.2,6.0,7.1,Rainfed,Major Tank,0.62,Yes,3.85,0.75
Wet,Maha,Maize,Mid-season,35,Sandy,5.59,12.6,0.65,0.29,28.0,23.1,25.6,82.9,293.2,5.7,9.0,Rainfed,Major Tank,0.62,Yes,2.98,1.2
Wet,Maha,Maize,Late-season,15,Sandy,5.1,12.6,0.3,0.2,28.1,22.5,25.3,86.9,1.8,4.0,4.2,Rainfed,Major Tank,0.62,Yes,3.09,0.6
Intermediate,Maha,Chili,Initial,25,Loamy,5.68,18.22,1.39,0.6,26.7,18.7,22.7,82.7,29.2,6.5,8.8,Drip,Major Tank,0.29,Yes,3.96,0.6
Intermediate,Maha,Chili,Development,35,Loamy,6.3,19.64,1.78,1.09,28.2,19.9,24.0,85.1,313.1,6.1,11.1,Drip,Major Tank,0.29,Yes,3.93,0.85
Intermediate,Maha,Chili,Mid-season,60,Loamy,5.74,26.22,1.0,0.42,27.5,21.0,24.2,76.7,412.1,5.1,7.0,Drip,Major Tank,0.29,Yes,3.24,1.05
Intermediate,Maha,Chili,Late-season,30,Loamy,5.45,26.25,0.66,0.05,31.0,19.8,25.4,86.4,107.0,5.8,7.6,Drip,Major Tank,0.29,Yes,4.6,0.9
Wet,Maha,Green Gram,Initial,12,Clay,5.9,24.05,1.41,0.97,28.6,23.0,25.8,78.8,69.8,5.1,4.6,Rainfed,Agro-well,1.45,No,3.58,0.4
Wet,Maha,Green Gram,Development,18,Clay,6.09,24.15,0.77,0.75,29.6,23.6,26.6,77.0,173.1,7.3,5.9,Rainfed,Agro-well,1.45,No,3.71,0.75
Wet,Maha,Green Gram,Mid-season,22,Clay,6.28,27.33,2.01,0.66,29.0,23.9,26.4,77.8,67.8,6.2,5.5,Rainfed,Agro-well,1.45,No,3.32,1.05
Wet,Maha,Green Gram,Late-season,13,Clay,6.63,24.57,1.61,1.26,28.1,23.2,25.7,79.2,18.2,6.0,6.8,Rainfed,Agro-well,1.45,No,3.09,0.4
Dry,Yala,Paddy (Rice),Initial,20,Clay,7.3,31.57,1.69,0.85,31.2,22.0,26.6,72.8,0.0,8.2,13.8,Furrow/Surface,Major Tank,0.5,No,4.76,1.05
Dry,Yala,Paddy (Rice),Development,30,Clay,5.82,33.25,1.42,0.17,33.5,21.9,27.7,69.5,31.2,8.8,8.3,Furrow/Surface,Major Tank,0.5,No,5.38,1.1
Dry,Yala,Paddy (Rice),Mid-season,40,Clay,5.71,33.16,1.68,0.6,35.0,23.7,29.4,53.1,0.0,7.5,16.7,Furrow/Surface,Major Tank,0.5,No,5.39,1.2
Dry,Yala,Paddy (Rice),Late-season,25,Clay,6.02,33.05,1.39,0.33,34.7,25.8,30.3,66.8,101.7,8.5,8.5,Furrow/Surface,Major Tank,0.5,No,4.96,0.95
Dry,Maha,Maize,Initial,20,Clay,5.36,31.81,2.05,0.98,30.2,22.8,26.5,74.4,59.2,6.3,12.7,Furrow/Surface,Minor Tank,0.64,No,4.15,0.3
Dry,Maha,Maize,Development,30,Clay,6.65,32.15,1.49,1.0,32.2,21.1,26.6,84.9,103.7,6.5,8.5,Furrow/Surface,Minor Tank,0.64,No,4.89,0.75
Dry,Maha,Maize,Mid-season,35,Clay,7.41,31.93,1.75,1.09,32.1,22.1,27.1,90.1,298.0,5.5,12.2,Furrow/Surface,Minor Tank,0.64,No,4.38,1.2
Dry,Maha,Maize,Late-season,15,Clay,6.76,34.2,1.63,1.02,31.2,22.3,26.8,81.0,17.5,7.9,9.5,Furrow/Surface,Minor Tank,0.64,No,4.0,0.6
Dry,Yala,Tomato,Initial,20,Sandy,5.81,10.24,0.54,0.28,33.1,24.4,28.7,59.7,52.1,9.2,12.6,Furrow/Surface,Agro-well,0.78,No,4.86,0.6
Dry,Yala,Tomato,Development,25,Sandy,5.91,10.81,0.67,0.59,34.7,23.9,29.3,65.6,148.5,9.2,12.7,Furrow/Surface,Agro-well,0.78,No,5.35,0.9
Dry,Yala,Tomato,Mid-season,35,Sandy,4.49,12.49,0.62,0.63,32.9,24.5,28.7,73.9,4.2,8.2,9.1,Furrow/Surface,Agro-well,0.78,No,4.58,1.15
Dry,Yala,Tomato,Late-season,20,Sandy,5.38,11.83,0.71,0.42,31.1,23.8,27.4,67.0,26.4,9.7,8.6,Furrow/Surface,Agro-well,0.78,No,4.16,0.8
Wet,Maha,Green Gram,Initial,12,Sandy,4.97,6.75,0.48,0.67,26.9,22.2,24.6,76.6,107.0,6.3,4.7,Furrow/Surface,Minor Tank,1.06,No,3.22,0.4
Wet,Maha,Green Gram,Development,18,Sandy,5.42,9.13,0.78,0.05,27.8,22.9,25.4,72.6,106.6,6.0,11.0,Furrow/Surface,Minor Tank,1.06,No,3.26,0.75
Wet,Maha,Green Gram,Mid-season,22,Sandy,5.11,10.66,0.56,0.32,28.2,21.9,25.0,86.2,16.2,5.7,3.1,Furrow/Surface,Minor Tank,1.06,No,3.59,1.05
Wet,Maha,Green Gram,Late-season,13,Sandy,4.73,7.42,1.0,0.21,29.2,22.3,25.8,72.5,89.2,6.5,8.1,Furrow/Surface,Minor Tank,1.06,No,3.67,0.4
Intermediate,Yala,Tomato,Initial,20,Clay,6.55,33.21,1.47,0.73,29.7,21.4,25.6,77.7,42.5,8.5,6.4,Furrow/Surface,Agro-well,1.1,No,4.4,0.6
Intermediate,Yala,Tomato,Development,25,Clay,5.41,33.1,1.51,0.57,31.3,21.2,26.3,71.8,97.1,7.7,8.3,Furrow/Surface,Agro-well,1.1,No,4.85,0.9
Intermediate,Yala,Tomato,Mid-season,35,Clay,6.49,32.18,1.78,0.43,31.1,22.3,26.7,77.9,0.0,7.7,12.8,Furrow/Surface,Agro-well,1.1,No,4.47,1.15
Intermediate,Yala,Tomato,Late-season,20,Clay,6.2,32.34,0.89,0.95,31.2,21.5,26.3,73.4,99.9,8.4,5.6,Furrow/Surface,Agro-well,1.1,No,4.68,0.8
Intermediate,Yala,Green Gram,Initial,12,Sandy,5.25,10.55,1.08,0.18,31.6,21.1,26.4,70.8,0.0,6.5,11.0,Furrow/Surface,Agro-well,1.84,No,5.06,0.4
Intermediate,Yala,Green Gram,Development,18,Sandy,5.16,8.47,0.28,0.43,33.2,22.7,27.9,68.5,62.8,7.8,10.0,Furrow/Surface,Agro-well,1.84,No,5.17,0.75
Intermediate,Yala,Green Gram,Mid-season,22,Sandy,4.79,6.85,0.49,0.65,30.7,19.9,25.3,76.9,49.0,7.9,8.2,Furrow/Surface,Agro-well,1.84,No,4.87,1.05
Intermediate,Yala,Green Gram,Late-season,13,Sandy,4.65,6.31,0.49,0.15,31.8,21.0,26.4,73.2,17.5,7.5,12.2,Furrow/Surface,Agro-well,1.84,No,4.93,0.4
Intermediate,Maha,Tomato,Initial,20,Sandy,5.46,8.47,0.58,0.2,30.6,19.0,24.8,83.3,71.4,7.0,7.7,Sprinkler,Major Tank,0.3,No,5.01,0.6
Intermediate,Maha,Tomato,Development,25,Sandy,5.97,9.16,0.83,0.42,27.9,19.0,23.4,85.0,22.3,5.1,10.1,Sprinkler,Major Tank,0.3,No,4.1,0.9
Intermediate,Maha,Tomato,Mid-season,35,Sandy,4.99,9.18,0.78,0.13,27.9,19.6,23.7,82.2,183.7,6.1,7.9,Sprinkler,Major Tank,0.3,No,3.76,1.15
Intermediate,Maha,Tomato,Late-season,20,Sandy,4.89,9.64,0.48,0.46,27.6,19.6,23.6,80.1,12.9,7.4,9.0,Sprinkler,Major Tank,0.3,No,3.54,0.8
Dry,Yala,Chili,Initial,25,Loamy,5.94,25.87,0.83,0.81,32.7,24.1,28.4,60.9,6.9,7.7,11.1,Rainfed,Major Tank,0.52,No,4.78,0.6
Dry,Yala,Chili,Development,35,Loamy,5.46,26.25,1.26,0.32,37.7,23.5,30.6,68.4,127.9,7.3,18.1,Rainfed,Major Tank,0.52,No,6.28,0.85
Dry,Yala,Chili,Mid-season,60,Loamy,5.36,26.25,1.29,0.85,35.1,24.1,29.6,53.4,202.8,7.5,15.1,Rainfed,Major Tank,0.52,No,5.39,1.05
Dry,Yala,Chili,Late-season,30,Loamy,5.77,26.25,1.07,0.59,34.0,24.3,29.1,66.2,46.6,6.9,12.0,Rainfed,Major Tank,0.52,No,5.14,0.9
Intermediate,Maha,Maize,Initial,20,Sandy Loam,5.79,8.12,0.83,0.08,26.3,19.8,23.1,82.0,171.1,6.3,7.1,Rainfed,Major Tank,1.18,No,3.62,0.3
Intermediate,Maha,Maize,Development,30,Sandy Loam,5.51,13.48,1.09,0.51,29.8,20.1,25.0,77.6,329.8,6.7,9.7,Rainfed,Major Tank,1.18,No,4.42,0.75
Intermediate,Maha,Maize,Mid-season,35,Sandy Loam,5.37,18.9,0.9,0.68,29.0,20.1,24.5,82.4,363.0,6.4,7.5,Rainfed,Major Tank,1.18,No,3.91,1.2
Intermediate,Maha,Maize,Late-season,15,Sandy Loam,5.69,18.9,0.83,0.63,27.1,17.5,22.3,82.2,134.3,5.3,7.2,Rainfed,Major Tank,1.18,No,3.75,0.6
Dry,Maha,Tomato,Initial,20,Sandy,4.98,10.05,0.48,0.16,31.8,22.7,27.3,78.0,114.0,7.3,8.1,Rainfed,Major Tank,0.22,No,4.74,0.6
Dry,Maha,Tomato,Development,25,Sandy,5.02,12.6,0.62,0.05,29.3,23.2,26.3,88.0,178.9,7.9,4.9,Rainfed,Major Tank,0.22,No,3.66,0.9
Dry,Maha,Tomato,Mid-season,35,Sandy,4.34,12.6,0.55,0.28,30.2,22.7,26.5,71.2,97.5,7.2,11.6,Rainfed,Major Tank,0.22,No,3.87,1.15
Dry,Maha,Tomato,Late-season,20,Sandy,5.45,12.6,0.37,0.41,32.0,22.1,27.0,73.6,139.9,6.4,11.7,Rainfed,Major Tank,0.22,No,4.37,0.8
Dry,Maha,Maize,Initial,20,Clay,6.27,23.88,0.98,0.63,32.7,22.2,27.5,71.7,0.0,5.9,11.6,Rainfed,Agro-well,1.24,No,5.05,0.3
Dry,Maha,Maize,Development,30,Clay,7.1,23.15,1.39,0.45,32.5,23.2,27.9,70.4,257.8,6.5,6.8,Rainfed,Agro-well,1.24,No,4.56,0.75
