Field_Cycle_ID,District,Climate_Zone,Season,Crop_Type,Crop_Growth_Stage,Stage_Duration_days,Soil_Type,Soil_pH,Soil_Moisture_pct,Organic_Carbon_pct,Electrical_Conductivity_dSm,Tmax_C,Tmin_C,Temperature_C,Humidity_pct,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Reference_ET0_mm_day,Crop_Coefficient_Kc,Net_Irrigation_Requirement_mm,Gross_Irrigation_Requirement_mm
2,Galle,Wet,Yala,Tomato,Mid-season,35,Sandy,4.96,12.6,0.57,0.61,32.4,23.9,28.1,79.0,198.2,4.7,9.7,Furrow/Surface,Agro-well,0.51,No,0.0,4.49,1.15,0.0,0.0
2,Galle,Wet,Yala,Tomato,Late-season,20,Sandy,5.59,12.6,0.5,0.16,29.3,22.6,26.0,76.3,358.4,6.0,8.9,Furrow/Surface,Agro-well,0.51,No,0.0,3.83,0.8,0.0,0.0
3,Galle,Wet,Maha,Big Onion,Initial,15,Sandy Loam,5.66,12.9,0.87,0.56,27.3,22.9,25.1,79.2,92.3,5.0,4.4,Rainfed,River/Canal Diversion,0.38,Yes,18.7,3.15,0.7,0.0,
3,Galle,Wet,Maha,Big Onion,Development,25,Sandy Loam,5.05,13.51,1.31,0.84,28.2,22.1,25.2,85.4,150.4,6.3,10.1,Rainfed,River/Canal Diversion,0.38,Yes,0.0,3.61,0.9,0.0,
3,Galle,Wet,Maha,Big Onion,Mid-season,35,Sandy Loam,5.53,14.7,0.98,0.78,27.6,23.8,25.7,76.6,148.3,5.3,8.3,Rainfed,River/Canal Diversion,0.38,Yes,0.0,2.73,1.05,0.0,
3,Galle,Wet,Maha,Big Onion,Late-season,20,Sandy Loam,5.97,14.25,0.57,0.51,28.6,20.7,24.6,80.8,40.2,5.3,4.6,Rainfed,River/Canal Diversion,0.38,Yes,0.0,3.72,0.75,2.8,
4,Puttalam,Dry,Yala,Paddy (Rice),Initial,20,Sandy Loam,5.01,13.44,0.75,0.56,32.6,24.1,28.3,69.4,9.0,10.0,18.6,Furrow/Surface,Rainfed,0.74,Yes,63.6,4.75,1.05,73.0,132.7
4,Puttalam,Dry,Yala,Paddy (Rice),Development,30,Sandy Loam,5.56,13.61,0.46,0.21,33.1,23.3,28.2,55.1,37.3,8.1,9.8,Furrow/Surface,Rainfed,0.74,Yes,73.0,4.96,1.1,97.4,177.1
4,Puttalam,Dry,Yala,Paddy (Rice),Mid-season,40,Sandy Loam,6.29,12.07,0.65,0.45,32.3,22.9,27.6,79.0,62.7,10.2,9.5,Furrow/Surface,Rainfed,0.74,Yes,97.4,4.75,1.2,146.8,267.0
4,Puttalam,Dry,Yala,Paddy (Rice),Late-season,25,Sandy Loam,5.38,12.02,1.02,0.7,34.6,23.6,29.1,67.2,40.2,7.2,12.3,Furrow/Surface,Rainfed,0.74,Yes,146.8,5.35,0.95,70.7,128.5
5,Ampara,Dry,Yala,Green Gram,Initial,12,Loamy,6.37,23.61,1.34,0.32,34.5,23.2,28.9,61.3,38.7,9.0,13.8,Rainfed,Rainfed,1.05,Yes,36.7,5.53,0.4,0.0,
5,Ampara,Dry,Yala,Green Gram,Development,18,Loamy,4.97,23.15,1.13,0.64,34.3,24.1,29.2,66.2,42.5,8.1,12.2,Rainfed,Rainfed,1.05,Yes,0.0,5.26,0.75,12.7,
5,Ampara,Dry,Yala,Green Gram,Mid-season,22,Loamy,5.98,21.33,0.88,0.52,33.5,22.2,27.9,70.0,79.5,9.4,8.4,Rainfed,Rainfed,1.05,Yes,12.7,5.26,1.05,20.4,
5,Ampara,Dry,Yala,Green Gram,Late-season,13,Loamy,5.88,18.8,1.22,0.43,34.8,25.7,30.2,75.1,40.1,8.5,18.2,Rainfed,Rainfed,1.05,Yes,20.4,4.89,0.4,0.0,
6,Colombo,Wet,Yala,Big Onion,Initial,15,Loamy,6.01,13.39,0.84,0.43,29.4,22.4,25.9,80.9,70.1,7.6,10.6,Rainfed,Major Tank,1.84,No,25.8,4.07,0.7,0.0,
6,Colombo,Wet,Yala,Big Onion,Development,25,Loamy,5.17,13.82,1.02,0.75,30.7,24.0,27.4,73.8,268.2,6.6,9.2,Rainfed,Major Tank,1.84,No,0.0,4.02,0.9,0.0,
6,Colombo,Wet,Yala,Big Onion,Mid-season,35,Loamy,6.09,19.55,1.28,0.38,31.0,23.8,27.4,86.4,454.3,5.9,11.0,Rainfed,Major Tank,1.84,No,0.0,4.08,1.05,0.0,
6,Colombo,Wet,Yala,Big Onion,Late-season,20,Loamy,5.67,24.77,1.26,0.81,29.3,23.8,26.6,87.0,328.9,5.6,8.7,Rainfed,Major Tank,1.84,No,0.0,3.52,0.75,0.0,
7,Vavuniya,Dry,Maha,Paddy (Rice),Initial,20,Loamy,6.21,17.01,1.28,0.25,31.6,23.8,27.7,71.0,41.5,5.8,5.0,Rainfed,Major Tank,3.42,Yes,84.1,4.38,1.05,50.6,
7,Vavuniya,Dry,Maha,Paddy (Rice),Development,30,Loamy,6.21,21.23,0.99,0.56,31.6,22.0,26.8,81.3,211.7,7.4,9.3,Rainfed,Major Tank,3.42,Yes,50.6,4.52,1.1,0.0,
7,Vavuniya,Dry,Maha,Paddy (Rice),Mid-season,40,Loamy,5.48,23.68,0.76,0.05,32.5,22.1,27.3,81.6,277.5,6.6,8.7,Rainfed,Major Tank,3.42,Yes,0.0,4.41,1.2,0.0,
7,Vavuniya,Dry,Maha,Paddy (Rice),Late-season,25,Loamy,6.04,26.25,0.95,0.45,32.4,22.2,27.3,80.0,116.3,7.7,12.3,Rainfed,Major Tank,3.42,Yes,0.0,4.27,0.95,0.0,
8,Gampaha,Wet,Yala,Paddy (Rice),Initial,20,Sandy Loam,5.52,12.67,0.98,0.57,27.7,24.3,26.0,80.6,109.1,6.0,6.3,Furrow/Surface,Rainfed,0.22,No,67.1,2.81,1.05,0.0,0.0
8,Gampaha,Wet,Yala,Paddy (Rice),Development,30,Sandy Loam,5.74,14.17,1.39,0.92,29.2,22.2,25.7,87.3,313.0,6.1,11.8,Furrow/Surface,Rainfed,0.22,No,0.0,3.95,1.1,0.0,0.0
8,Gampaha,Wet,Yala,Paddy (Rice),Mid-season,40,Sandy Loam,4.96,18.9,0.38,0.28,29.7,24.5,27.1,79.6,398.6,6.7,8.9,Furrow/Surface,Rainfed,0.22,No,0.0,3.45,1.2,0.0,0.0
8,Gampaha,Wet,Yala,Paddy (Rice),Late-season,25,Sandy Loam,5.67,18.9,1.05,0.43,29.2,25.2,27.2,87.4,173.8,5.6,9.9,Furrow/Surface,Rainfed,0.22,No,0.0,3.07,0.95,0.0,0.0
9,Matara,Wet,Yala,Big Onion,Initial,15,Loamy,6.18,17.95,1.11,0.83,28.7,23.9,26.3,79.6,165.0,6.9,11.7,Furrow/Surface,Agro-well,2.14,No,19.5,3.4,0.7,0.0,0.0
9,Matara,Wet,Yala,Big Onion,Development,25,Loamy,4.81,25.58,1.04,1.21,29.2,21.7,25.4,77.0,137.8,7.5,11.2,Furrow/Surface,Agro-well,2.14,No,0.0,4.06,0.9,0.0,0.0
9,Matara,Wet,Yala,Big Onion,Mid-season,35,Loamy,6.14,25.82,1.4,0.43,28.9,23.9,26.4,76.8,297.1,6.2,9.2,Furrow/Surface,Agro-well,2.14,No,0.0,3.32,1.05,0.0,0.0
9,Matara,Wet,Yala,Big Onion,Late-season,20,Loamy,6.58,26.25,1.24,0.66,31.1,22.6,26.9,79.4,320.9,7.5,8.5,Furrow/Surface,Agro-well,2.14,No,0.0,4.37,0.75,0.0,0.0
10,Polonnaruwa,Dry,Yala,Maize,Initial,20,Sandy,5.28,3.21,0.4,0.54,33.0,22.3,27.6,63.0,31.6,8.4,12.5,Rainfed,Major Tank,0.18,No,29.2,5.24,0.3,6.1,
10,Polonnaruwa,Dry,Yala,Maize,Development,30,Sandy,4.79,2.0,0.35,0.22,34.5,24.6,29.5,69.8,47.6,9.6,12.7,Rainfed,Major Tank,0.18,No,6.1,5.17,0.75,73.5,
10,Polonnaruwa,Dry,Yala,Maize,Mid-season,35,Sandy,5.42,2.3,0.64,0.11,34.4,24.1,29.2,63.4,64.1,8.8,15.2,Rainfed,Major Tank,0.18,No,73.5,5.16,1.2,156.6,
10,Polonnaruwa,Dry,Yala,Maize,Late-season,15,Sandy,5.35,3.29,0.2,0.17,34.3,23.1,28.7,69.1,71.7,7.2,17.0,Rainfed,Major Tank,0.18,No,156.6,5.34,0.6,0.0,
11,Badulla,Intermediate,Maha,Paddy (Rice),Initial,20,Sandy,4.49,8.5,0.7,0.28,30.5,17.8,24.2,75.6,183.0,5.9,7.0,Furrow/Surface,Minor Tank,0.4,No,41.7,5.17,1.05,0.0,0.0
11,Badulla,Intermediate,Maha,Paddy (Rice),Development,30,Sandy,4.79,12.6,0.65,0.12,27.8,18.9,23.3,84.7,11.6,6.8,8.9,Furrow/Surface,Minor Tank,0.4,No,0.0,4.1,1.1,104.5,190.1
11,Badulla,Intermediate,Maha,Paddy (Rice),Mid-season,40,Sandy,5.21,12.25,0.65,0.28,27.6,18.2,22.9,85.6,400.2,6.4,6.8,Furrow/Surface,Minor Tank,0.4,No,104.5,3.88,1.2,0.0,0.0
11,Badulla,Intermediate,Maha,Paddy (Rice),Late-season,25,Sandy,5.04,12.6,0.21,0.34,27.9,19.1,23.5,88.8,291.6,5.4,3.2,Furrow/Surface,Minor Tank,0.4,No,0.0,3.74,0.95,0.0,0.0
12,Jaffna,Dry,Maha,Green Gram,Initial,12,Sandy,5.87,7.33,0.38,0.52,31.3,23.1,27.2,70.3,159.3,6.9,8.0,Drip,Minor Tank,0.19,No,21.4,4.46,0.4,0.0,0.0
12,Jaffna,Dry,Maha,Green Gram,Development,18,Sandy,5.06,12.5,0.58,0.06,30.5,22.7,26.6,85.1,86.5,6.5,4.8,Drip,Minor Tank,0.19,No,0.0,4.16,0.75,0.0,0.0
12,Jaffna,Dry,Maha,Green Gram,Mid-season,22,Sandy,5.53,12.6,0.67,0.88,32.1,22.0,27.0,66.2,54.4,7.4,9.7,Drip,Minor Tank,0.19,No,0.0,4.57,1.05,20.9,23.3
12,Jaffna,Dry,Maha,Green Gram,Late-season,13,Sandy,5.01,10.52,0.76,0.7,32.0,22.3,27.1,83.1,33.7,7.3,12.1,Drip,Minor Tank,0.19,No,20.9,4.28,0.4,0.0,0.0
13,Ratnapura,Wet,Maha,Tomato,Initial,20,Loamy,5.61,15.37,0.93,0.74,27.1,22.3,24.7,85.5,103.3,5.8,4.9,Furrow/Surface,Major Tank,0.1,Yes,1.4,3.22,0.6,0.0,0.0
13,Ratnapura,Wet,Maha,Tomato,Development,25,Loamy,5.37,18.1,1.41,0.51,28.6,22.5,25.6,83.8,116.5,5.2,7.0,Furrow/Surface,Major Tank,0.1,Yes,0.0,3.61,0.9,0.0,0.0
13,Ratnapura,Wet,Maha,Tomato,Mid-season,35,Loamy,6.31,19.23,0.86,0.32,27.9,23.5,25.7,71.9,337.0,4.8,5.2,Furrow/Surface,Major Tank,0.1,Yes,0.0,2.88,1.15,0.0,0.0
13,Ratnapura,Wet,Maha,Tomato,Late-season,20,Loamy,5.35,21.77,0.53,0.85,28.1,23.0,25.5,80.2,167.5,6.2,7.3,Furrow/Surface,Major Tank,0.1,Yes,0.0,2.98,0.8,0.0,0.0
14,Kandy,Wet,Maha,Tomato,Initial,20,Clay,6.62,26.55,1.55,1.17,27.7,21.6,24.6,89.2,36.9,7.4,9.3,Drip,Rainfed,2.62,No,12.9,3.63,0.6,7.2,8.0
14,Kandy,Wet,Maha,Tomato,Development,25,Clay,7.14,25.27,2.01,1.21,28.7,23.1,25.9,82.4,86.8,4.6,7.2,Drip,Rainfed,2.62,No,7.2,3.48,0.9,0.0,0.0
14,Kandy,Wet,Maha,Tomato,Mid-season,35,Clay,6.27,24.33,1.37,1.34,29.4,22.5,25.9,81.8,194.6,5.1,7.8,Drip,Rainfed,2.62,No,0.0,3.59,1.15,0.0,0.0
14,Kandy,Wet,Maha,Tomato,Late-season,20,Clay,5.67,23.89,1.58,0.92,28.0,22.7,25.4,81.2,96.1,5.8,4.8,Drip,Rainfed,2.62,No,0.0,3.01,0.8,0.0,0.0
15,Matara,Wet,Yala,Paddy (Rice),Initial,20,Loamy,5.77,19.73,1.28,0.47,30.8,24.5,27.6,82.5,198.8,5.4,8.2,Sprinkler,Rainfed,0.86,No,65.2,3.99,1.05,0.0,0.0
15,Matara,Wet,Yala,Paddy (Rice),Development,30,Loamy,5.54,26.25,0.57,0.13,29.8,23.1,26.5,84.0,204.1,6.6,6.2,Sprinkler,Rainfed,0.86,No,0.0,3.9,1.1,0.0,0.0
15,Matara,Wet,Yala,Paddy (Rice),Mid-season,40,Loamy,5.85,26.25,0.97,0.38,29.5,23.4,26.5,87.9,580.2,4.3,10.0,Sprinkler,Rainfed,0.86,No,0.0,3.66,1.2,0.0,0.0
15,Matara,Wet,Yala,Paddy (Rice),Late-season,25,Loamy,6.05,26.25,1.31,1.39,30.9,25.2,28.0,81.7,422.3,7.9,9.1,Sprinkler,Rainfed,0.86,No,0.0,3.74,0.95,0.0,0.0
16,Kurunegala,Intermediate,Yala,Paddy (Rice),Initial,20,Loamy,5.72,19.59,1.45,0.26,31.5,19.6,25.5,75.3,53.9,6.9,6.4,Rainfed,Minor Tank,1.57,No,60.2,5.28,1.05,62.2,
16,Kurunegala,Intermediate,Yala,Paddy (Rice),Development,30,Loamy,5.22,23.19,1.2,0.54,30.3,21.5,25.9,73.4,88.1,6.9,11.8,Rainfed,Minor Tank,1.57,No,62.2,4.48,1.1,44.6,
16,Kurunegala,Intermediate,Yala,Paddy (Rice),Mid-season,40,Loamy,6.5,23.83,1.07,0.05,31.0,21.7,26.3,76.7,44.0,6.8,7.1,Rainfed,Minor Tank,1.57,No,44.6,4.54,1.2,137.2,
16,Kurunegala,Intermediate,Yala,Paddy (Rice),Late-season,25,Loamy,5.66,25.76,1.34,0.22,30.0,20.9,25.5,70.0,122.9,7.6,9.2,Rainfed,Minor Tank,1.57,No,137.2,4.48,0.95,0.0,
17,Kalutara,Wet,Maha,Paddy (Rice),Initial,20,Clay,6.56,21.93,1.88,0.24,27.2,22.9,25.1,83.2,196.7,5.5,9.0,Sprinkler,Rainfed,3.0,Yes,61.0,3.12,1.05,0.0,0.0
17,Kalutara,Wet,Maha,Paddy (Rice),Development,30,Clay,6.18,29.73,1.43,0.8,27.1,22.6,24.9,78.7,145.6,5.9,10.8,Sprinkler,Rainfed,3.0,Yes,0.0,3.04,1.1,0.0,0.0
17,Kalutara,Wet,Maha,Paddy (Rice),Mid-season,40,Clay,6.73,30.17,1.47,1.07,29.2,24.0,26.6,82.2,205.8,6.5,4.7,Sprinkler,Rainfed,3.0,Yes,0.0,3.16,1.2,0.0,0.0
17,Kalutara,Wet,Maha,Paddy (Rice),Late-season,25,Clay,5.44,30.33,1.56,0.94,29.2,22.8,26.0,79.6,167.5,6.3,1.1,Sprinkler,Rainfed,3.0,Yes,0.0,3.41,0.95,0.0,0.0
18,Jaffna,Dry,Yala,Green Gram,Initial,12,Sandy Loam,5.49,10.49,0.87,0.54,33.9,24.0,28.9,59.8,51.7,8.0,10.8,Rainfed,Agro-well,0.83,Yes,21.0,5.22,0.4,0.0,
18,Jaffna,Dry,Yala,Green Gram,Development,18,Sandy Loam,4.99,9.64,0.96,0.65,32.7,23.0,27.8,74.6,52.9,7.9,8.7,Rainfed,Agro-well,0.83,Yes,0.0,5.03,0.75,21.3,
18,Jaffna,Dry,Yala,Green Gram,Mid-season,22,Sandy Loam,6.32,8.24,1.23,0.48,34.8,22.6,28.7,70.0,79.7,8.0,11.6,Rainfed,Agro-well,0.83,Yes,21.3,5.67,1.05,69.1,
18,Jaffna,Dry,Yala,Green Gram,Late-season,13,Sandy Loam,5.85,7.53,0.9,0.57,35.0,24.1,29.6,68.8,4.6,8.8,12.8,Rainfed,Agro-well,0.83,Yes,69.1,5.4,0.4,21.0,
19,Galle,Wet,Maha,Tomato,Initial,20,Loamy,6.25,15.18,0.57,0.51,28.1,22.3,25.2,79.7,132.0,6.5,7.7,Drip,Minor Tank,2.15,No,11.6,3.59,0.6,0.0,0.0
19,Galle,Wet,Maha,Tomato,Development,25,Loamy,5.79,21.4,1.2,0.85,28.0,22.5,25.3,85.2,91.6,7.0,7.4,Drip,Minor Tank,2.15,No,0.0,3.42,0.9,0.0,0.0
19,Galle,Wet,Maha,Tomato,Mid-season,35,Loamy,5.66,21.4,1.04,0.74,28.8,23.1,26.0,77.2,198.8,6.8,8.4,Drip,Minor Tank,2.15,No,0.0,3.33,1.15,0.0,0.0
19,Galle,Wet,Maha,Tomato,Late-season,20,Loamy,6.06,22.89,1.32,0.63,28.4,21.4,24.9,80.2,1.8,6.1,11.9,Drip,Minor Tank,2.15,No,0.0,3.5,0.8,36.2,40.2
20,Kurunegala,Intermediate,Yala,Maize,Initial,20,Sandy,5.73,10.89,1.16,0.28,30.9,21.3,26.1,66.4,15.8,7.4,6.0,Rainfed,Rainfed,0.48,No,23.6,4.8,0.3,5.9,
20,Kurunegala,Intermediate,Yala,Maize,Development,30,Sandy,4.58,7.61,0.73,0.34,31.3,21.3,26.3,74.2,62.4,7.6,10.3,Rainfed,Rainfed,0.48,No,5.9,4.8,0.75,42.0,
20,Kurunegala,Intermediate,Yala,Maize,Mid-season,35,Sandy,5.59,7.99,0.85,0.63,31.0,22.3,26.7,72.9,192.0,7.1,13.1,Rainfed,Rainfed,0.48,No,42.0,4.44,1.2,15.7,
20,Kurunegala,Intermediate,Yala,Maize,Late-season,15,Sandy,5.54,8.07,0.9,0.35,31.7,22.0,26.9,66.5,11.7,8.1,6.6,Rainfed,Rainfed,0.48,No,15.7,4.75,0.6,18.0,
21,Kandy,Wet,Maha,Maize,Initial,20,Sandy,4.36,8.01,0.42,0.35,27.3,22.3,24.8,80.3,100.1,5.8,10.5,Rainfed,Major Tank,0.62,Yes,23.6,3.28,0.3,0.0,
21,Kandy,Wet,Maha,Maize,Development,30,Sandy,5.89,11.03,0.2,0.05,29.4,22.4,25.9,86.2,153.2,6.0,7.1,Rainfed,Major Tank,0.62,Yes,0.0,3.85,0.75,0.0,
21,Kandy,Wet,Maha,Maize,Mid-season,35,Sandy,5.59,12.6,0.65,0.29,28.0,23.1,25.6,82.9,293.2,5.7,9.0,Rainfed,Major Tank,0.62,Yes,0.0,2.98,1.2,0.0,
21,Kandy,Wet,Maha,Maize,Late-season,15,Sandy,5.1,12.6,0.3,0.2,28.1,22.5,25.3,86.9,1.8,4.0,4.2,Rainfed,Major Tank,0.62,Yes,0.0,3.09,0.6,13.1,
22,Kurunegala,Intermediate,Maha,Chili,Initial,25,Loamy,5.68,18.22,1.39,0.6,26.7,18.7,22.7,82.7,29.2,6.5,8.8,Drip,Major Tank,0.29,Yes,12.0,3.96,0.6,27.8,30.9
22,Kurunegala,Intermediate,Maha,Chili,Development,35,Loamy,6.3,19.64,1.78,1.09,28.2,19.9,24.0,85.1,313.1,6.1,11.1,Drip,Major Tank,0.29,Yes,27.8,3.93,0.85,0.0,0.0
22,Kurunegala,Intermediate,Maha,Chili,Mid-season,60,Loamy,5.74,26.22,1.0,0.42,27.5,21.0,24.2,76.7,412.1,5.1,7.0,Drip,Major Tank,0.29,Yes,0.0,3.24,1.05,0.0,0.0
22,Kurunegala,Intermediate,Maha,Chili,Late-season,30,Loamy,5.45,26.25,0.66,0.05,31.0,19.8,25.4,86.4,107.0,5.8,7.6,Drip,Major Tank,0.29,Yes,0.0,4.6,0.9,0.0,0.0
23,Matara,Wet,Maha,Green Gram,Initial,12,Clay,5.9,24.05,1.41,0.97,28.6,23.0,25.8,78.8,69.8,5.1,4.6,Rainfed,Agro-well,1.45,No,25.8,3.58,0.4,0.0,
23,Matara,Wet,Maha,Green Gram,Development,18,Clay,6.09,24.15,0.77,0.75,29.6,23.6,26.6,77.0,173.1,7.3,5.9,Rainfed,Agro-well,1.45,No,0.0,3.71,0.75,0.0,
23,Matara,Wet,Maha,Green Gram,Mid-season,22,Clay,6.28,27.33,2.01,0.66,29.0,23.9,26.4,77.8,67.8,6.2,5.5,Rainfed,Agro-well,1.45,No,0.0,3.32,1.05,2.1,
23,Matara,Wet,Maha,Green Gram,Late-season,13,Clay,6.63,24.57,1.61,1.26,28.1,23.2,25.7,79.2,18.2,6.0,6.8,Rainfed,Agro-well,1.45,No,2.1,3.09,0.4,0.0,
24,Anuradhapura,Dry,Yala,Paddy (Rice),Initial,20,Clay,7.3,31.57,1.69,0.85,31.2,22.0,26.6,72.8,0.0,8.2,13.8,Furrow/Surface,Major Tank,0.5,No,56.7,4.76,1.05,79.4,144.4
24,Anuradhapura,Dry,Yala,Paddy (Rice),Development,30,Clay,5.82,33.25,1.42,0.17,33.5,21.9,27.7,69.5,31.2,8.8,8.3,Furrow/Surface,Major Tank,0.5,No,79.4,5.38,1.1,101.2,184.0
24,Anuradhapura,Dry,Yala,Paddy (Rice),Mid-season,40,Clay,5.71,33.16,1.68,0.6,35.0,23.7,29.4,53.1,0.0,7.5,16.7,Furrow/Surface,Major Tank,0.5,No,101.2,5.39,1.2,185.3,337.0
24,Anuradhapura,Dry,Yala,Paddy (Rice),Late-season,25,Clay,6.02,33.05,1.39,0.33,34.7,25.8,30.3,66.8,101.7,8.5,8.5,Furrow/Surface,Major Tank,0.5,No,185.3,4.96,0.95,4.3,7.8
25,Kilinochchi,Dry,Yala,Green Gram,Initial,12,Loamy,6.17,19.38,1.33,0.47,34.5,25.9,30.2,70.8,18.5,8.7,21.1,Sprinkler,Major Tank,1.41,Yes,27.0,5.02,0.4,1.3,1.7
25,Kilinochchi,Dry,Yala,Green Gram,Development,18,Loamy,5.48,18.46,1.31,1.08,37.0,24.3,30.7,63.6,28.0,8.8,12.7,Sprinkler,Major Tank,1.41,Yes,1.3,6.09,0.75,39.8,53.0
25,Kilinochchi,Dry,Yala,Green Gram,Mid-season,22,Loamy,6.34,16.8,1.09,0.69,33.5,23.5,28.5,65.5,81.6,8.0,11.9,Sprinkler,Major Tank,1.41,Yes,39.8,5.1,1.05,29.7,39.6
25,Kilinochchi,Dry,Yala,Green Gram,Late-season,13,Loamy,5.99,16.91,1.31,0.74,35.7,25.2,30.5,73.8,39.1,7.1,15.5,Sprinkler,Major Tank,1.41,Yes,29.7,5.4,0.4,0.0,0.0
26,Puttalam,Dry,Maha,Maize,Initial,20,Clay,5.36,31.81,2.05,0.98,30.2,22.8,26.5,74.4,59.2,6.3,12.7,Furrow/Surface,Minor Tank,0.64,No,20.8,4.15,0.3,0.0,0.0
26,Puttalam,Dry,Maha,Maize,Development,30,Clay,6.65,32.15,1.49,1.0,32.2,21.1,26.6,84.9,103.7,6.5,8.5,Furrow/Surface,Minor Tank,0.64,No,0.0,4.89,0.75,0.2,0.4
26,Puttalam,Dry,Maha,Maize,Mid-season,35,Clay,7.41,31.93,1.75,1.09,32.1,22.1,27.1,90.1,298.0,5.5,12.2,Furrow/Surface,Minor Tank,0.64,No,0.2,4.38,1.2,0.0,0.0
26,Puttalam,Dry,Maha,Maize,Late-season,15,Clay,6.76,34.2,1.63,1.02,31.2,22.3,26.8,81.0,17.5,7.9,9.5,Furrow/Surface,Minor Tank,0.64,No,0.0,4.0,0.6,10.9,19.8
27,Batticaloa,Dry,Yala,Tomato,Initial,20,Sandy,5.81,10.24,0.54,0.28,33.1,24.4,28.7,59.7,52.1,9.2,12.6,Furrow/Surface,Agro-well,0.78,No,10.0,4.86,0.6,8.7,15.8
27,Batticaloa,Dry,Yala,Tomato,Development,25,Sandy,5.91,10.81,0.67,0.59,34.7,23.9,29.3,65.6,148.5,9.2,12.7,Furrow/Surface,Agro-well,0.78,No,8.7,5.35,0.9,0.0,0.0
27,Batticaloa,Dry,Yala,Tomato,Mid-season,35,Sandy,4.49,12.49,0.62,0.63,32.9,24.5,28.7,73.9,4.2,8.2,9.1,Furrow/Surface,Agro-well,0.78,No,0.0,4.58,1.15,126.6,230.3
27,Batticaloa,Dry,Yala,Tomato,Late-season,20,Sandy,5.38,11.83,0.71,0.42,31.1,23.8,27.4,67.0,26.4,9.7,8.6,Furrow/Surface,Agro-well,0.78,No,126.6,4.16,0.8,21.3,38.8
28,Matara,Wet,Maha,Green Gram,Initial,12,Sandy,4.97,6.75,0.48,0.67,26.9,22.2,24.6,76.6,107.0,6.3,4.7,Furrow/Surface,Minor Tank,1.06,No,19.8,3.22,0.4,0.0,0.0
28,Matara,Wet,Maha,Green Gram,Development,18,Sandy,5.42,9.13,0.78,0.05,27.8,22.9,25.4,72.6,106.6,6.0,11.0,Furrow/Surface,Minor Tank,1.06,No,0.0,3.26,0.75,0.0,0.0
